"Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Date","Result","How out","Fielder","Bowler"
"37","82","67","6","0","55.22","2","caught","2","v Sri Lanka","Dambulla","20-Aug-08","W","caught","CK Kapugedera","T Thushara"
"25","40","38","4","0","65.78","1","run out","1","v Sri Lanka","Colombo (RPS)","24-Aug-08","W","run out","",""
"54","87","66","7","0","81.81","1","bowled","1","v Sri Lanka","Colombo (RPS)","27-Aug-08","W","bowled","","T Thushara"
"2","6","2","0","0","100","7","not out","1","v Sri Lanka","Colombo (RPS)","14-Sep-09","W","not out","",""
"79","121","104","9","2","75.96","4","not out","2","v West Indies","Johannesburg","30-Sep-09","W","not out","",""
"27","20","19","4","0","142.1","7","bowled","1","v Sri Lanka","Rajkot","15-Dec-09","W","bowled","","UWMBCA Welegedara"
"107","-","114","11","1","93.85","4","caught","2","v Sri Lanka","Kolkata","24-Dec-09","W","caught","M Pushpakumara (sub)","S Randiv"
"91","136","102","7","0","89.21","3","caught","2","v Bangladesh","Dhaka","7-Jan-10","W","caught","Shakib Al Hasan","Shakib Al Hasan"
"71","98","68","9","0","104.41","3","not out","2","v Sri Lanka","Dhaka","10-Jan-10","W","not out","",""
"102","128","95","11","0","107.36","3","not out","2","v Bangladesh","Dhaka","11-Jan-10","W","not out","",""
"31","-","46","1","0","67.39","5","caught","1","v South Africa","Jaipur","21-Feb-10","W","caught","HH Gibbs","JA Morkel"
"-","-","-","-","-","-","-","-","1","v South Africa","Gwalior","24-Feb-10","W","DNB","",""
"82","125","92","4","0","89.13","3","caught","2","v Sri Lanka","Bulawayo","30-May-10","W","caught","CRD Fernando","S Randiv"
"11","35","22","0","0","50","3","stumped","2","v Bangladesh","Dambulla","16-Jun-10","W","stumped","Mushfiqur Rahim","Shakib Al Hasan"
"18","31","27","1","0","66.66","3","bowled","2","v Pakistan","Dambulla","19-Jun-10","W","bowled","","Saeed Ajmal"
"28","57","34","4","0","82.35","3","caught","1","v Sri Lanka","Dambulla","24-Jun-10","W","caught","KC Sangakkara","SL Malinga"
"0","5","3","0","0","0","3","caught","2","v Sri Lanka","Dambulla","16-Aug-10","W","caught","KC Sangakkara","CRD Fernando"
